id,title,amount,created_at,updated_at
0cf21,Milk,2.5,2025-02-19T22:06:06.188644+00:00,2025-02-19T22:06:06.188644+00:00
fdb74,Bread,1.2,2025-02-19T22:06:06.188871+00:00,2025-02-19T22:06:06.188871+00:00
6b183,Eggs,3.0,2025-02-19T22:06:06.188877+00:00,2025-02-19T22:06:06.188877+00:00
d9495,Cheese,4.5,2025-02-19T22:06:06.188881+00:00,2025-02-19T22:06:06.188881+00:00
eb1dc,Apples,2.0,2025-02-19T22:06:06.188885+00:00,2025-02-19T22:06:06.188885+00:00
3cfba,Chicken,8.0,2025-02-19T22:06:06.188889+00:00,2025-02-19T22:06:06.188889+00:00
e2718,Rice,5.0,2025-02-19T22:06:06.188892+00:00,2025-02-19T22:06:06.188892+00:00
24d97,Pasta,1.5,2025-02-19T22:06:06.188895+00:00,2025-02-19T22:06:06.188895+00:00
427c6,Tomatoes,2.3,2025-02-19T22:06:06.188901+00:00,2025-02-19T22:06:06.188901+00:00
2abe7,Potatoes,1.8,2025-02-19T22:06:06.188904+00:00,2025-02-19T22:06:06.188904+00:00
